algorithm,n,t_count,total_gates,magic_fraction,params,label
qaoa,16,640,1600.0,0.4,{'p': 1},QAOA(p=1)
qaoa,16,1280,3200.0,0.4,{'p': 2},QAOA(p=2)
qaoa,16,1920,4800.0,0.4,{'p': 3},QAOA(p=3)
qft,16,360,256.0,1.40625,{},QFT
vqe,16,1024,2144.0,0.47761194029850745,{'depth': 2},VQE(d=2)
vqe,16,2048,4288.0,0.47761194029850745,{'depth': 4},VQE(d=4)
phase_estimation,16,40,24.0,1.6666666666666667,{},QPE
qaoa,32,1600,4000.0,0.4,{'p': 1},QAOA(p=1)
qaoa,32,3200,8000.0,0.4,{'p': 2},QAOA(p=2)
qaoa,32,4800,12000.0,0.4,{'p': 3},QAOA(p=3)
qft,32,1488,1024.0,1.453125,{},QFT
vqe,32,2560,5312.0,0.4819277108433735,{'depth': 2},VQE(d=2)
vqe,32,5120,10624.0,0.4819277108433735,{'depth': 4},VQE(d=4)
phase_estimation,32,60,35.0,1.7142857142857142,{},QPE
qaoa,64,3840,9600.0,0.4,{'p': 1},QAOA(p=1)
qaoa,64,7680,19200.0,0.4,{'p': 2},QAOA(p=2)
qaoa,64,11520,28800.0,0.4,{'p': 3},QAOA(p=3)
qft,64,6048,4096.0,1.4765625,{},QFT
vqe,64,6144,12672.0,0.48484848484848486,{'depth': 2},VQE(d=2)
vqe,64,12288,25344.0,0.48484848484848486,{'depth': 4},VQE(d=4)
phase_estimation,64,84,48.0,1.75,{},QPE
