n,p,t_count,log_stab_rank,log_robustness,sim_exponent,sim_time_bits
16,1,256,128.0,126.976,122.88,36.99056586719001
16,2,512,256.0,253.952,245.76,73.98113173438001
16,3,768,384.0,380.928,368.64,110.97169760157003
16,4,1024,512.0,507.904,491.52,147.96226346876003
32,1,640,320.0,317.44,307.2,92.47641466797502
32,2,1280,640.0,634.88,614.4,184.95282933595004
32,3,1920,960.0,952.3199999999999,921.5999999999999,277.4292440039251
32,4,2560,1280.0,1269.76,1228.8,369.9056586719001
64,1,1536,768.0,761.856,737.28,221.94339520314006
64,2,3072,1536.0,1523.712,1474.56,443.8867904062801
64,3,4608,2304.0,2285.568,2211.84,665.8301856094203
64,4,6144,3072.0,3047.424,2949.12,887.7735808125602
128,1,3584,1792.0,1777.664,1720.32,517.8679221406601
128,2,7168,3584.0,3555.328,3440.64,1035.7358442813202
128,3,10752,5376.0,5332.992,5160.96,1553.6037664219805
128,4,14336,7168.0,7110.656,6881.28,2071.4716885626403
